,ZipCode,TotalHousingUnits,OccupiedHousingUnits,VacantHousingUnits,OwnerOccupied,RenterOccupied,OwnerOccupiedHouseholdSize,RenterOccupiedHouseholdSize,VehiclesAvailable,NoVehiclesAvailable,WithMortgage,WithoutMortgage
268,01379,416,381,35,311,70,2.18,1.90,381,4,190,121
269,01380,23,14,9,14,0,3.36,-,14,0,0,14
270,01420,17682,16383,1299,9189,7194,2.52,2.35,16383,2091,6532,2657
271,01430,2684,2141,543,2014,127,2.73,4.75,2141,35,1495,519
272,01431,1350,1297,53,1208,89,2.47,2.34,1297,0,836,372
273,01432,3758,3560,198,2416,1144,2.42,1.82,3560,116,1817,599
274,01434,315,315,0,315,0,3.41,-,315,0,315,0
275,01436,1344,1262,82,977,285,2.89,2.44,1262,17,829,148
276,01438,124,124,0,102,22,3.20,1.59,124,0,102,0
277,01440,9694,8904,790,5088,3816,2.39,2.07,8904,799,3211,1877
278,01450,3983,3820,163,3353,467,3.09,1.51,3820,179,2515,838
279,01451,1776,1668,108,1582,86,3.07,1.74,1668,7,1066,516
280,01452,1631,1586,45,1444,142,2.79,2.13,1586,42,970,474
281,01453,18661,17896,765,11363,6533,2.61,2.06,17896,1827,7696,3667
282,01460,3708,3504,204,3043,461,2.94,2.12,3504,29,2089,954
283,01462,4700,4447,253,3598,849,2.69,2.30,4447,149,2442,1156
284,01463,4532,4370,162,3583,787,2.83,1.90,4370,142,2855,728
285,01464,2441,2345,96,1831,514,2.67,2.04,2345,68,1331,500
286,01468,1707,1622,85,1452,170,2.58,1.88,1622,51,913,539
287,01469,2880,2831,49,2317,514,2.76,2.09,2831,62,1641,676
288,01473,3407,3122,285,2774,348,2.69,1.96,3122,26,1949,825
289,01474,689,680,9,626,54,2.35,3.59,680,30,493,133
290,01475,4131,3726,405,2734,992,2.89,2.24,3726,341,2076,658
291,01501,6784,6534,250,5642,892,2.67,1.64,6534,364,3785,1857
292,01503,1358,1311,47,1095,216,2.75,1.44,1311,26,597,498
293,01504,4022,3874,148,2953,921,2.56,1.73,3874,202,2043,910
294,01505,1883,1834,49,1487,347,2.74,2.09,1834,41,1052,435
295,01506,1421,1395,26,1215,180,2.53,1.93,1395,28,784,431
296,01507,5103,4776,327,3885,891,2.96,1.89,4776,225,2844,1041
297,01510,6849,6455,394,3523,2932,2.50,2.17,6455,289,2423,1100
298,01515,992,835,157,649,186,2.54,2.10,835,43,432,217
299,01516,3375,3179,196,2646,533,3.07,2.00,3179,103,2140,506
300,01518,1280,1280,0,927,353,2.71,2.22,1280,49,722,205
301,01519,2677,2652,25,1924,728,2.99,2.48,2652,114,1570,354
302,01520,6048,6021,27,5185,836,2.89,1.89,6021,163,3799,1386
303,01521,1476,1106,370,999,107,2.41,1.69,1106,24,746,253
304,01522,1224,1159,65,998,161,2.61,1.90,1159,35,649,349
305,01523,2887,2801,86,2271,530,2.58,2.16,2801,108,1711,560
306,01524,2337,2180,157,1856,324,2.84,1.98,2180,118,1259,597
307,01525,31,31,0,0,31,-,-,31,0,0,0
308,01527,5472,5165,307,3786,1379,2.79,2.26,5165,325,2772,1014
309,01529,1335,1275,60,1088,187,2.49,2.40,1275,48,755,333
